trial,seed,train_acc,test_acc,n_qubits,num_images,maxiter,vary_dataset,vary_split,optimizer
1,10000,0.6785714285714286,0.6333333333333333,8,200,20,True,True,COBYLA
2,10001,0.5571428571428572,0.6,8,200,20,True,True,COBYLA
3,10002,0.7071428571428572,0.6,8,200,20,True,True,COBYLA
4,10003,0.5571428571428572,0.6833333333333333,8,200,20,True,True,COBYLA
5,10004,0.6,0.43333333333333335,8,200,20,True,True,COBYLA
6,10005,0.55,0.5833333333333334,8,200,20,True,True,COBYLA
7,10006,0.55,0.5833333333333334,8,200,20,True,True,COBYLA
8,10007,0.6428571428571429,0.6,8,200,20,True,True,COBYLA
9,10008,0.75,0.7,8,200,20,True,True,COBYLA
10,10009,0.6285714285714286,0.6666666666666666,8,200,20,True,True,COBYLA
11,10010,0.5571428571428572,0.45,8,200,20,True,True,COBYLA
12,10011,0.5785714285714286,0.5333333333333333,8,200,20,True,True,COBYLA
13,10012,0.6214285714285714,0.55,8,200,20,True,True,COBYLA
14,10013,0.4928571428571429,0.43333333333333335,8,200,20,True,True,COBYLA
15,10014,0.7714285714285715,0.85,8,200,20,True,True,COBYLA
16,10015,0.6785714285714286,0.6166666666666667,8,200,20,True,True,COBYLA
17,10016,0.65,0.5333333333333333,8,200,20,True,True,COBYLA
18,10017,0.7642857142857142,0.8166666666666667,8,200,20,True,True,COBYLA
19,10018,0.7428571428571429,0.6333333333333333,8,200,20,True,True,COBYLA
20,10019,0.5928571428571429,0.6833333333333333,8,200,20,True,True,COBYLA
21,10020,0.5928571428571429,0.6166666666666667,8,200,20,True,True,COBYLA
22,10021,0.6,0.5166666666666667,8,200,20,True,True,COBYLA
23,10022,0.6428571428571429,0.6666666666666666,8,200,20,True,True,COBYLA
24,10023,0.6428571428571429,0.6166666666666667,8,200,20,True,True,COBYLA
25,10024,0.6142857142857143,0.7,8,200,20,True,True,COBYLA
26,10025,0.6571428571428571,0.6,8,200,20,True,True,COBYLA
27,10026,0.7928571428571428,0.8666666666666667,8,200,20,True,True,COBYLA
28,10027,0.6714285714285714,0.6,8,200,20,True,True,COBYLA
29,10028,0.6214285714285714,0.7333333333333333,8,200,20,True,True,COBYLA
30,10029,0.7857142857142857,0.75,8,200,20,True,True,COBYLA
31,10030,0.6,0.6166666666666667,8,200,20,True,True,COBYLA
32,10031,0.7285714285714285,0.6333333333333333,8,200,20,True,True,COBYLA
33,10032,0.5571428571428572,0.65,8,200,20,True,True,COBYLA
34,10033,0.6142857142857143,0.7,8,200,20,True,True,COBYLA
35,10034,0.5785714285714286,0.55,8,200,20,True,True,COBYLA
36,10035,0.6857142857142857,0.6666666666666666,8,200,20,True,True,COBYLA
37,10036,0.6857142857142857,0.7666666666666667,8,200,20,True,True,COBYLA
38,10037,0.65,0.75,8,200,20,True,True,COBYLA
39,10038,0.7357142857142858,0.75,8,200,20,True,True,COBYLA
40,10039,0.5428571428571428,0.5333333333333333,8,200,20,True,True,COBYLA
41,10040,0.6428571428571429,0.6333333333333333,8,200,20,True,True,COBYLA
42,10041,0.6857142857142857,0.7333333333333333,8,200,20,True,True,COBYLA
43,10042,0.42857142857142855,0.43333333333333335,8,200,20,True,True,COBYLA
44,10043,0.8,0.8333333333333334,8,200,20,True,True,COBYLA
45,10044,0.6142857142857143,0.6166666666666667,8,200,20,True,True,COBYLA
46,10045,0.7071428571428572,0.6666666666666666,8,200,20,True,True,COBYLA
47,10046,0.65,0.5333333333333333,8,200,20,True,True,COBYLA
48,10047,0.6571428571428571,0.5166666666666667,8,200,20,True,True,COBYLA
49,10048,0.7,0.6333333333333333,8,200,20,True,True,COBYLA
50,10049,0.6285714285714286,0.65,8,200,20,True,True,COBYLA
